,round,attendance,Capacity,inConstruction,rank,rank_opp,goal_diff,pts_l1m,pts_l2m,pts_l3m,pts_l4m,pts_l5m,pts_l6m,pts_l7m,pts_l8m,pts_l9m,pts_l10m,gs_l1m,gs_l2m,gs_l3m,gs_l4m,gs_l5m,gs_l6m,gs_l7m,gs_l8m,gs_l9m,gs_l10m,gd_l1m,gd_l2m,gd_l3m,gd_l4m,gd_l5m,gd_l6m,gd_l7m,gd_l8m,gd_l9m,gd_l10m,rank_diff,final_round,own_city,hour_dec,cloudcover_avg2h,tempC_avg2h,precip_sum2h,cloudcover_avg3h,tempC_avg3h,precip_sum3h,cloudcover_avg4h,tempC_avg4h,precip_sum4h,cloudcover_avg5h,tempC_avg5h,precip_sum5h,cloudcover_avg6h,tempC_avg6h,precip_sum6h,cloudcover_avg7h,tempC_avg7h,precip_sum7h,cloudcover_avg8h,tempC_avg8h,precip_sum8h,cloudcover_avg9h,tempC_avg9h,precip_sum9h,cloudcover_avg10h,tempC_avg10h,precip_sum10h,cloudcover_avg11h,tempC_avg11h,precip_sum11h,cloudcover_avg12h,tempC_avg12h,precip_sum12h,home_team_Arka Gdynia,home_team_Cracovia Kraków,home_team_GKS Bełchatów,home_team_Górnik Zabrze,home_team_Górnik Łęczna,home_team_Jagiellonia Białystok,home_team_Korona Kielce,home_team_Lech Poznań,home_team_Lechia Gdańsk,home_team_Legia Warszawa,home_team_Miedź Legnica,home_team_Piast Gliwice,home_team_Podbeskidzie Bielsko-Biała,home_team_Pogoń Szczecin,home_team_Raków Częstochowa,home_team_Ruch Chorzów,home_team_Sandecja Nowy Sącz,home_team_Termalica Nieciecza,home_team_Widzew Łódź,home_team_Wisła Kraków,home_team_Wisła Płock,home_team_Zagłębie Lubin,home_team_Zagłębie Sosnowiec,home_team_Zawisza Bydgoszcz,home_team_ŁKS Łódź,home_team_Śląsk Wrocław,away_team_Arka Gdynia,away_team_Cracovia Kraków,away_team_GKS Bełchatów,away_team_Górnik Zabrze,away_team_Górnik Łęczna,away_team_Jagiellonia Białystok,away_team_Korona Kielce,away_team_Lech Poznań,away_team_Lechia Gdańsk,away_team_Legia Warszawa,away_team_Miedź Legnica,away_team_Piast Gliwice,away_team_Podbeskidzie Bielsko-Biała,away_team_Pogoń Szczecin,away_team_Raków Częstochowa,away_team_Ruch Chorzów,away_team_Sandecja Nowy Sącz,away_team_Termalica Nieciecza,away_team_Widzew Łódź,away_team_Wisła Kraków,away_team_Wisła Płock,away_team_Zagłębie Lubin,away_team_Zagłębie Sosnowiec,away_team_Zawisza Bydgoszcz,away_team_ŁKS Łódź,away_team_Śląsk Wrocław,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,weekday_Friday,weekday_Monday,weekday_Saturday,weekday_Sunday,weekday_Thursday,weekday_Tuesday,weekday_Wednesday
54,7,14616,33130,0,1.0,5.0,2.0,0.0,3.0,3.0,6.0,7.0,7.0,10.0,11.0,11.0,11.5,2.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,10.5,12.0,-1.0,3.0,2.0,3.0,3.0,-1.0,-1.0,-2.0,-3.0,-6.0,4.0,0,1,20.0,31.0,26.5,0.2,23.0,27.0,0.2,19.25,27.25,0.2,17.2,27.6,0.2,16.17,28.0,0.2,15.29,28.14,0.2,14.62,28.25,0.2,14.0,28.22,0.2,13.4,28.1,0.2,12.91,27.82,0.2,12.42,27.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
55,7,6019,10978,0,3.0,6.0,-4.0,3.0,3.0,6.0,6.0,6.0,9.0,9.0,10.5,11.5,14.0,2.0,2.0,3.0,4.0,4.0,6.0,7.0,9.0,10.0,14.0,1.0,0.0,1.0,0.0,-4.0,-2.0,-3.0,-2.0,-3.0,-1.0,3.0,0,1,15.0,15.0,28.0,0.0,16.33,28.0,0.0,17.75,28.0,0.0,18.4,27.8,0.0,18.83,27.5,0.0,19.0,27.14,0.0,19.25,26.62,0.0,19.56,26.11,0.0,19.8,25.5,0.0,20.55,25.0,0.0,21.67,24.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
56,8,6586,15114,0,9.0,12.0,4.0,3.0,6.0,6.0,9.0,12.0,12.0,13.0,14.0,16.0,18.0,2.0,5.0,6.0,7.0,10.0,11.0,10.0,10.0,12.0,13.5,1.0,3.0,2.0,3.0,5.0,4.0,4.0,4.0,5.0,6.0,3.0,0,1,18.0,75.0,0.0,0.0,79.33,0.0,0.0,83.5,0.0,0.0,85.6,0.0,0.0,86.83,0.0,0.0,87.43,0.0,0.0,87.12,0.0,0.0,86.33,0.0,0.0,85.1,0.0,0.0,82.91,0.0,0.0,79.92,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
57,8,17450,24563,0,15.0,6.0,1.0,0.0,3.0,3.0,6.0,6.0,9.0,8.0,9.0,9.5,11.5,0.0,3.0,4.0,5.0,5.0,6.0,10.0,11.0,12.5,13.5,-1.0,2.0,0.0,1.0,0.0,1.0,-2.0,0.0,-2.0,-1.0,-9.0,0,1,17.5,7.0,19.5,0.0,5.0,20.0,0.0,4.0,20.0,0.0,3.2,20.0,0.0,2.67,20.0,0.0,2.29,19.86,0.0,2.0,19.5,0.0,1.78,19.11,0.0,1.8,18.7,0.0,2.0,18.27,0.0,2.33,17.83,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
58,8,19308,22409,0,7.0,10.0,7.0,3.0,6.0,9.0,10.0,11.0,11.0,8.5,9.5,11.0,12.0,2.0,5.0,8.0,9.0,11.0,11.0,10.0,11.0,13.0,14.0,2.0,3.0,5.0,5.0,5.0,4.0,-1.0,-1.0,-1.0,-1.0,3.0,0,1,20.5,44.5,15.0,0.2,50.33,15.67,0.5,54.25,16.25,0.7,57.2,16.8,0.8,59.83,17.33,0.9,62.71,17.71,1.0,65.88,18.12,1.0,69.11,18.44,1.0,71.4,18.6,1.0,72.91,18.64,1.0,73.92,18.58,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
59,8,7073,15550,0,5.0,13.0,-7.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,7.0,8.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,5.5,6.5,-2.0,-5.0,-6.0,-7.0,-7.0,-8.0,-5.0,-5.0,-6.5,-6.0,8.0,0,1,20.0,2.5,13.5,0.0,3.0,13.67,0.0,5.5,14.0,0.0,8.8,14.4,0.0,12.5,14.83,0.0,17.0,15.0,0.0,21.88,15.12,0.0,27.11,15.22,0.0,30.0,15.2,0.0,31.27,15.18,0.0,31.25,15.08,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
60,8,14008,41620,0,14.0,11.0,1.0,3.0,4.0,4.0,5.0,8.0,9.0,10.0,12.0,14.5,15.0,2.0,3.0,4.0,5.0,7.0,7.0,8.0,10.0,12.5,14.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-3.0,0,1,17.5,26.0,14.5,0.0,26.67,15.0,0.0,30.25,15.25,0.0,35.0,15.4,0.1,40.17,15.5,0.2,44.0,15.43,0.3,47.0,15.38,0.3,49.44,15.22,0.4,51.1,15.1,0.5,52.09,14.91,0.5,52.58,14.75,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
61,8,3829,4197,1,8.0,4.0,4.0,1.0,1.0,4.0,7.0,8.0,11.0,11.0,14.0,14.0,16.0,1.0,2.0,3.0,4.0,4.0,6.0,7.5,9.0,10.0,11.0,0.0,-1.0,0.0,1.0,1.0,3.0,0.5,1.0,1.0,1.0,-4.0,0,1,15.0,53.5,20.0,0.0,43.33,20.0,0.0,33.25,20.0,0.0,27.2,19.6,0.0,23.17,19.17,0.0,20.29,18.71,0.0,18.25,18.12,0.0,16.67,17.56,0.0,15.4,16.9,0.0,14.45,16.36,0.0,13.67,15.83,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
62,8,2511,5264,0,1.0,2.0,-5.0,0.0,0.0,3.0,3.0,3.0,6.0,10.0,11.0,13.0,14.0,1.0,3.0,5.0,5.0,6.0,7.0,10.0,10.5,12.0,13.0,-2.0,-3.0,-2.0,-3.0,-5.0,-4.0,-2.0,-3.0,-2.0,-3.0,1.0,0,0,15.0,8.0,17.0,0.0,10.0,17.0,0.0,12.25,17.0,0.0,14.2,16.8,0.0,16.0,16.5,0.0,17.86,16.29,0.0,18.38,16.0,0.0,18.0,15.56,0.0,17.1,15.1,0.0,16.45,14.73,0.0,16.0,14.42,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
63,8,2876,16068,0,3.0,16.0,-5.0,0.0,0.0,0.0,3.0,4.0,4.0,10.0,10.5,13.0,14.0,2.0,2.0,2.0,4.0,6.0,6.0,9.0,12.5,15.0,18.0,-2.0,-5.0,-6.0,-4.0,-4.0,-5.0,0.0,0.0,2.0,2.0,13.0,0,1,18.0,51.5,18.5,0.2,54.0,19.0,0.3,56.5,19.5,0.4,58.2,20.0,0.5,59.5,20.33,0.5,60.43,20.57,0.5,61.25,20.62,0.5,61.89,20.67,0.5,62.5,20.6,0.5,62.0,20.45,0.5,60.75,20.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
